sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,4.537546052819798,0.5384398528380844,0.5384398528380844
2,4.525215290665168,0.386875573357421,0.547124682792932
3,4.513455626020744,0.3146344693904311,0.5449628867967014
4,4.504556575963557,0.2711179928811627,0.5422359857623253
5,4.373787673252705,0.25252045314314775,0.5646528989371288
6,3.8173462752905634,0.4022970736159318,0.985422555373914
7,3.6135800376831027,0.4235943102536271,1.120725201713035
8,2.901404105534179,0.42186662723264706,1.1932190114900088
9,2.2530249867679166,0.17499509334538307,0.5249852800361492
10,2.1158385614809307,0.19090172683480283,0.6036842660572634
11,2.1462088057921513,0.16776974263141572,0.5564292874828985
12,1.9261839531796903,0.12653501604558262,0.43833015345498444
13,1.6909545175411491,0.06683642935290947,0.24098217310084155
14,1.613774528203957,0.05745878324904529,0.2149910807788331
15,1.5059943099155904,0.05108732271217943,0.19786035006659486
16,1.4522121680672977,0.05271930494059873,0.21087721976239493
17,1.371304318776343,0.05762854708748547,0.2376085866925836
18,1.3567271217192216,0.05828163418475776,0.24726803250405543
19,1.2725879523117212,0.03724704547126378,0.1623561071547031
20,1.2193532248508772,0.04105677823287513,0.18361149413168498
21,1.1621396628919247,0.04271339117841029,0.19573734826332417
22,1.1318094296395411,0.04607231949034025,0.21609833342911206
23,1.0755466344328224,0.04218069424839271,0.20229150315165725
24,1.0128579373673818,0.04502703733055279,0.22058653217820862
25,0.9513380101031546,0.04189013272088406,0.20945066360442027
26,0.9305226471845979,0.04398678843131416,0.22428949255154823
27,0.8824424087493254,0.03576357418219362,0.18583298263145373
28,0.8523782052092731,0.03519758570500843,0.1862481170506687
29,0.8291388547835569,0.034928605751544106,0.18809629845549114
30,0.8093855220346095,0.035027987294066296,0.19185618784964456
31,0.7759083472657754,0.03702287320695189,0.20613463405124116
32,0.7418482867364473,0.036195843332772495,0.20475461017095453
33,0.722508702161789,0.03465050812269728,0.19905201464520933
34,0.6939211738475473,0.029016626723540773,0.16919455457564886
35,0.6795060669487392,0.027521608159810248,0.16282002963264283
36,0.6732036268414747,0.026570166924606727,0.15942100154764036
37,0.6608163967728384,0.02442263293612332,0.14855707651507813
38,0.6361584484127053,0.02169170790682251,0.13371666796912954
39,0.6187246143606933,0.017116241729865075,0.10689089534311054
40,0.5816079549445855,0.0183923594363334,0.11632349472660841
41,0.5687741088292876,0.017037729799752398,0.10909470063162649
42,0.5357326380907825,0.009307684167679128,0.060320687593404615
43,0.5343465502989262,0.009208712006188693,0.0603855628685841
44,0.5271704539506492,0.00935115502557422,0.062028545152551885
45,0.5139645542716669,0.009213176343756143,0.061803865779995124
46,0.5040817611060655,0.008308552495430468,0.056351344706128334
47,0.5019720433216286,0.00830371969059941,0.056927434097298585
48,0.4990177010241233,0.008537450589968795,0.059149192755739356
49,0.4959932825816694,0.008046989273045951,0.05632892491132166
50,0.4878306674663537,0.008089613885055821,0.05720220835303823
51,0.47635682606669194,0.007956323263033629,0.056819513137305176
52,0.470454833163194,0.007755061431844853,0.0559225432737796
53,0.4644084018580963,0.007932881200908785,0.05775224688122356
54,0.4593784015926093,0.007719454426553297,0.056726173313173506
55,0.4487825555243415,0.009037877445246045,0.06702669303598974
56,0.4383364944197575,0.009174367827043122,0.06865468229807418
57,0.4354579274353812,0.00903141892003797,0.06818571756185844
58,0.42621751866186175,0.009322921181534029,0.07100125240241584
59,0.4244175540158417,0.009277941217865585,0.07126521873458312
60,0.4150400190123599,0.008627984303741103,0.06683207903945658
61,0.4056783280078723,0.007607413417480976,0.05941579817836873
62,0.39825943037481193,0.00703642947290829,0.05540490107460865
63,0.3897077153656898,0.007031464012682766,0.05581051539077675
64,0.3830191989105163,0.007390556190206141,0.05912444952164913
65,0.3795692200064977,0.00744084980232368,0.05999004897270982
66,0.37799834980847763,0.007411788616479777,0.06021365536732534
67,0.37608094576346035,0.007104825897787144,0.05815550635612317
68,0.3759191279145435,0.007059051524275288,0.05821043010252873
69,0.3734510531044825,0.006978360854004788,0.05796661879392953
70,0.3697887064669228,0.007050573394825848,0.058989329235954416
71,0.3537445207290855,0.006484821990899852,0.05464208134770985
72,0.34521979491454946,0.005732033706901329,0.04863791884967751
73,0.3432279544680122,0.005616889496758508,0.047990724897339396
74,0.33669939972433793,0.005608299492876414,0.04824441643271313
75,0.3342135395963227,0.005739138064762925,0.04970239359910954
76,0.32700402660656436,0.0047359293084459405,0.04128687451853665
77,0.32067595688023887,0.004918574703157311,0.04316031785693319
78,0.3200656105298906,0.0048815082764276825,0.04311231376440951
79,0.3173814192917775,0.00505379344991624,0.044919098727811614
80,0.3152966355912506,0.005284124348939751,0.047262644983164404
81,0.3108269116152319,0.0054888729150584965,0.04939985623552647
82,0.3053063108803843,0.005643812610844352,0.051106896838672485
83,0.3018963877495403,0.005448758328639962,0.04964055084188368
84,0.2993379803057394,0.0053367781187490335,0.048912379392702945
85,0.2957891555878881,0.005006353348215781,0.04615629726279249
86,0.2954064349827091,0.004909385299014769,0.04552776631045807
87,0.29401534903472915,0.004801860700950277,0.044788774917893986
