sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.21543451510483186,0.0787002571304713,0.0787002571304713
2,0.19854818622738826,0.05573158172373716,0.07881635872621362
3,0.17705959511300173,0.038464398149540446,0.06662229187756236
4,0.15828323307309194,0.015351263342402617,0.030702526684805234
5,0.14525860578218855,0.006800895630503432,0.015207264937686968
6,0.1428823320921733,0.0070516120917288126,0.017272851488775557
7,0.1392944709840421,0.007208741605108075,0.01907253755284055
8,0.1371042190502769,0.00672797799033051,0.019029595442546177
9,0.139230984779043,0.006300473823510362,0.018901421470531088
10,0.13870733117585254,0.004884027633985912,0.015444651478598678
11,0.1289668883702658,0.0022841560245747735,0.007575688496144331
12,0.13181703125362487,0.0027997411288457237,0.009698587766402072
13,0.13114021658152028,0.0025020300192069842,0.00902119752700093
14,0.12990293392245839,0.0026627264684889007,0.009963010159779986
15,0.1314377857743982,0.0026078160072446487,0.010100027966031645
16,0.12997298315025993,0.002101735637757846,0.008406942551031384
17,0.12801854361154535,0.0021795402092510516,0.008986474498022904
18,0.1275644712101189,0.0023129420579822775,0.009812982082145023
19,0.12750780148928526,0.0025889421356554893,0.011284937139996648
20,0.1257927767281604,0.0020138119130914483,0.009006040663142754
21,0.12553285391727476,0.0019943604738142016,0.009139307834281574
22,0.1275091042453993,0.0014555058541173495,0.006826927596667278
23,0.1267169184865201,0.0015036705871979655,0.00721135080276215
24,0.12669773349545832,0.001583690432726934,0.007758466941416954
25,0.12707826488334,0.0015520336730341891,0.007760168365170946
26,0.12784536065113228,0.0011841713077326132,0.006038112605565281
27,0.12806629891967702,0.0013685000321774182,0.007110934757672795
28,0.12856857116987613,0.0014392242062140038,0.00761565866101319
29,0.12466096761545145,0.0011545192586569087,0.006217276480878203
30,0.12433500139846246,0.0011139155255756664,0.0061011666051301525
31,0.1250259580666207,0.0010122004608959484,0.005635693654216584
32,0.12460140098762998,0.001078990522997251,0.006103692125179005
33,0.1252913730140976,0.00097943888924426,0.005626448057719274
34,0.12547028021762968,0.0007571771728364286,0.004415063670684181
35,0.12386740581645403,0.0008774809169327811,0.00519124711272174
36,0.12336702982802406,0.0009740332581399461,0.005844199548839676
37,0.12276050187289785,0.0011203308227068823,0.006814706349899602
38,0.1224197170765862,0.001056091436999139,0.006510184842653121
39,0.1237977780113561,0.0011273379465009436,0.007040223219416953
