sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.47175070203806707,0.0658518409869813,0.0658518409869813
2,0.4606194473056588,0.04519846843733054,0.06392028706256513
3,0.47705601256083313,0.038711552921576735,0.0670503765000623
4,0.3466835047181375,0.009638757906623836,0.019277515813247673
5,0.319940616231131,0.017882228181121174,0.03998587780214937
6,0.28913584696708167,0.025156738267754254,0.0616211723487451
7,0.2524061330272917,0.02715209468394711,0.07183769010820297
8,0.2443250363481429,0.023650556821805894,0.06689387643014684
9,0.20475973730906186,0.01779912639747954,0.05339737919243862
10,0.18616688473693918,0.007960563326937115,0.02517351157112891
11,0.1836347666568145,0.007580231838440834,0.02514078483201416
12,0.18552552547186876,0.008860445476367313,0.030693483485524017
13,0.18407347369664667,0.007130605550566692,0.025709763937676336
14,0.18507060026522687,0.006611834542123328,0.02473921955466285
15,0.18224558759951895,0.00720713997188821,0.02791313308490883
16,0.1805593234667378,0.006463007096464831,0.025852028385859323
17,0.17585278848922156,0.006655341878719263,0.0274406775405562
18,0.17173632705428918,0.0063435701750921385,0.02691348892644231
19,0.1708741771353985,0.006027857257106786,0.02627482062981675
20,0.1708124927865444,0.006312837873528836,0.028231869232291398
21,0.1717997860610047,0.005879705396236915,0.02694419504229598
22,0.1734820375489466,0.006039511961397765,0.02832782208538219
23,0.17187841706249396,0.0058299773009690276,0.027959588920184866
24,0.17244064227898823,0.0054416557400064685,0.026658559837806097
25,0.1756238369903259,0.005054774748806016,0.02527387374403008
26,0.1732408501443003,0.004877817332500193,0.024872085762159588
27,0.1720288572863709,0.004933548522154217,0.025635470105932357
28,0.17323436567174605,0.005043443319034562,0.026687393547231285
29,0.17166468933052187,0.004910962501972444,0.026446342434779217
30,0.17011256390760263,0.004665753238337062,0.025555382963899864
31,0.1678456039280936,0.004515376658259413,0.02514055324261127
32,0.16688830125188445,0.004509267967120137,0.02550827166190342
33,0.16599493494292974,0.004485639205657238,0.025768035426665083
34,0.165557459620232,0.004473052485572491,0.0260821538664914
35,0.16454086719054756,0.004358962074466797,0.025787967404050982
36,0.16211231745315646,0.004317902347318247,0.025907414083909484
37,0.1630601411161411,0.004498504779785556,0.027363336316847023
38,0.16349355612894728,0.004353652774999154,0.026837718130269524
39,0.16472966388941418,0.004165190026025183,0.02601160337547624
40,0.16527080792299342,0.003950885290613261,0.024987592584788346
41,0.16444583934124965,0.0038664519022671316,0.024757371888275013
42,0.165054805964828,0.003817902082536152,0.024742833408828168
43,0.16515968284848864,0.0037942981753928138,0.024880877028009625
44,0.16527176030122862,0.003753768571455432,0.02489968380269212
45,0.166033395343365,0.0036672484606317507,0.02460065054506217
46,0.16555777105136837,0.0037259615790560833,0.025270700933604843
47,0.16551293569927727,0.0036537603970189896,0.02504891927458638
48,0.1652249591125504,0.00354340933445079,0.024549459997130353
49,0.16566833469062756,0.003539739405248999,0.024778175836742994
50,0.1650346661442145,0.0034919679892605176,0.024691942448924652
51,0.16564205287147535,0.0035288670693125607,0.025201151609337415
52,0.1658580538513241,0.003452873696785704,0.02489902632292351
53,0.1649151487370038,0.0034588157415144276,0.025180558684998314
54,0.16439488669933291,0.0033530982008307697,0.024640138948439097
55,0.16511137676891213,0.0032591170045936846,0.024170258598735433
56,0.1648877160495561,0.002706243997574263,0.020251675687872762
57,0.16560816109382828,0.0028598257576776544,0.021591210984189018
58,0.1652274476565928,0.0029137372170269992,0.022190361534988972
59,0.16383890663396175,0.002835408217120466,0.021779183770406576
60,0.16263842416120405,0.002792503645686604,0.02163064022793543
61,0.1628442473046892,0.002741610286714103,0.021412660853271172
62,0.16167749228466352,0.002649977084701441,0.02086594043089001
63,0.16314117861690622,0.0027187631527789777,0.021579513527817243
64,0.16310049840366672,0.002703431496334324,0.02162745197067459
65,0.1642145233997085,0.0027505903299775702,0.02217596820025673
66,0.1632099866315005,0.0027236792602598776,0.02212727491226171
67,0.1630580595505172,0.002815349297787227,0.023044627178431837
68,0.16325431551373334,0.0029013320172032787,0.023924996723830947
69,0.16385542469651496,0.0028423872960446407,0.023610642140979594
70,0.1635275339490661,0.00284080398902573,0.02376787140836375
71,0.16146648176937034,0.0026632244348710325,0.022440727967806287
72,0.15876626246354886,0.0020999282417807044,0.01781848199721936
73,0.1585301459937686,0.0021222285977827225,0.018132329087875553
74,0.158686932815835,0.0020938635807890775,0.01801209558676223
75,0.157642017442865,0.0019557961768432637,0.01693769173770749
76,0.15799755519476705,0.002002338560693323,0.01745598287363376
77,0.157576045749141,0.0020791865390150177,0.018244787834601862
78,0.1574006277921794,0.00207155887402599,0.018295512595916916
