sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,0.312016139826028,0.05287314378094391,0.05287314378094391
2,0.2972875457047217,0.034918384859654816,0.049382053444687185
3,0.2904096365702179,0.030470837174977266,0.05277703813621914
4,0.25747269872206735,0.016078709801406528,0.032157419602813056
5,0.245516466216643,0.010867624311711984,0.02430074671491736
6,0.23550466419577232,0.010244444864372008,0.02509366261578704
7,0.22775324472495523,0.010275852321052027,0.02718734975072952
8,0.2213402255586802,0.008550172889342652,0.024183540921486262
9,0.20546991561809042,0.014158271681618094,0.04247481504485428
10,0.18002688930876537,0.011389425481935188,0.03601652576367612
11,0.1626090465746664,0.006544990137567627,0.02170727654288839
12,0.158554283489877,0.005381002846508753,0.018640340651651825
13,0.15915645957183078,0.004770057209076733,0.01719868585422281
14,0.15661230927275777,0.004430827942506751,0.016578640100604766
15,0.15485871466345197,0.004582456043469386,0.01774777594108446
16,0.1525408798011651,0.00332300112283545,0.0132920044913418
17,0.15169991907268998,0.0030349168811648415,0.012513282866012764
18,0.1487156200788211,0.0035574697788053086,0.015093066026756644
19,0.14869432957975376,0.0040557165150330934,0.017678458432678214
20,0.14690327328157068,0.0032396157945503664,0.014488002275193224
21,0.14527577339143566,0.003785766516943985,0.01734856162732513
22,0.14345006124564333,0.0033755246665413655,0.015832614093618348
23,0.1415244269268244,0.0035546494418516447,0.01704749984755808
24,0.1400791158113391,0.0034988347877222712,0.017140719848437323
25,0.14170368620972396,0.0032932302645423185,0.016466151322711592
26,0.1394988353826761,0.003231350773066659,0.016476720647130023
27,0.13866708474959374,0.0034024592033022453,0.01767969663239944
28,0.1381063594716286,0.0035759866460296236,0.01892234271416469
29,0.13667984427425126,0.0029830979866697993,0.016064474294047996
30,0.1369936205518434,0.0029845471589368534,0.016347038028876708
31,0.1378349986826703,0.0024857001044271466,0.01383979245811233
32,0.13651204914011716,0.0025487497756944244,0.014417905999529756
33,0.13590345695383005,0.0025955068007629143,0.014910051416498059
34,0.13492169450689248,0.0027153292872609744,0.015832954452683318
35,0.13281926904438585,0.001973276362388157,0.011674060393992929
36,0.13370501916347569,0.002184775388494702,0.013108652330968213
37,0.13309105011196967,0.0022828620734882464,0.013886107882453204
38,0.1342424391664347,0.0021400015986716334,0.013191855821227413
39,0.13349300831694536,0.0021177704108811947,0.013225471977020413
40,0.13388868557466746,0.002071234127829591,0.013099634822827708
41,0.13231675094458345,0.0021422397731868706,0.0137170274140855
42,0.13295880107551233,0.0024550473181832433,0.015910525071467216
43,0.13253340796089702,0.00252014475171711,0.016525694281727277
44,0.13240271126095318,0.002452279033832365,0.01626657887295442
45,0.13296860076773162,0.002411018443488797,0.016173603403940057
46,0.1339766909536087,0.0023282996776036887,0.015791296713112392
47,0.1347493745446704,0.0021186686843243994,0.014524860712414196
48,0.13495690194284787,0.002035721739004594,0.014103893928113703
49,0.13336406656562433,0.0019514093108651588,0.01365986517605611
50,0.13308663884368582,0.0018650400248611694,0.013187824487636602
51,0.13380561042129613,0.0018169161331885921,0.01297537652583116
52,0.13395307213311566,0.0017310060076095918,0.012482461837145183
53,0.13330612676030157,0.0017900041385371169,0.013031426830817119
54,0.1333351004143876,0.0016596551759830067,0.012195924990382157
55,0.13325613808547154,0.0016850128091531343,0.012496389445978287
56,0.13378724430766253,0.0018314669381401306,0.013705443595448546
57,0.13337692472172819,0.0018860964081595093,0.014239715610563138
58,0.13514084673871876,0.0019627247993284735,0.014947666740937926
59,0.13390702375632743,0.001886719413364965,0.014492166799389455
60,0.1332327460128175,0.0019136812248502176,0.014823311027589409
61,0.13419067659210243,0.0019870035364534986,0.015518993726611313
62,0.1340329423369475,0.002033798184283589,0.016014142917199905
63,0.13385690317542973,0.002037034490942863,0.01616846002528761
64,0.13416424194700727,0.0020069513189159985,0.016055610551327988
65,0.13340355371093357,0.002083312942849917,0.016796205915622395
66,0.13329880331349828,0.0020622887270032924,0.016754112819622555
67,0.13239080409481854,0.0020146894630502492,0.016490943980840576
68,0.13426657485549115,0.0017949077324279864,0.01480118833807694
69,0.1337524748134016,0.0017844375037880664,0.014822651150851915
70,0.13325746962479623,0.0017091393842468853,0.014299686025744326
71,0.13374586749161504,0.001751467381112558,0.014758126476087373
