sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,6.015157363158777,0.7207836838512514,0.7207836838512514
2,3.3490921217009166,0.3321445499069494,0.4697233271467152
3,4.0318330844871095,0.37857613646348376,0.6557131028878825
4,2.934958175871188,0.20235764006376938,0.40471528012753877
5,2.775117223150951,0.17835244557654273,0.3988081922624812
6,2.362046239667518,0.1338872142509418,0.32795535799749564
7,2.323650378532211,0.12280353800745704,0.32490762168659976
8,1.9085955080857442,0.10285266331562452,0.29091126277429985
9,1.7578631988697846,0.1343249367380283,0.40297481021408493
10,1.7140052146635072,0.1316442828824003,0.41629577484790103
11,1.642646247980507,0.13036613584314144,0.43237555796020255
12,1.5677180298766558,0.13065549257164125,0.4526039028440413
13,1.4874422339298559,0.10919426130561367,0.3937055081238035
14,1.396097323794257,0.10857918374269661,0.40626610490074583
15,1.239080685136998,0.06793899956253036,0.26312661386367303
16,1.1512686197819648,0.061950495819164855,0.24780198327665942
17,1.0886589074580315,0.06332107367741621,0.26107947509950513
18,1.0621100742940648,0.0625176763214937,0.2652400372257231
19,1.0045719025710715,0.05954229223559355,0.2595388347217188
20,0.9394475675806817,0.0513097790958893,0.2294643079378124
21,0.8682551817362392,0.04256310211358295,0.19504863724762875
22,0.851083236804735,0.04018969876843723,0.1885063964860343
23,0.8190673945355466,0.03719943524138173,0.17840222418004859
24,0.7425439548235087,0.029906529911099957,0.1465114765189553
25,0.7105665353421543,0.023829990956689674,0.11914995478344838
26,0.7030607993429017,0.022257774702574163,0.11349282753757749
27,0.6785627444953037,0.01977683459671977,0.10276344700321378
28,0.6507923335160688,0.019216138164635344,0.10168224548536456
29,0.6380297115311969,0.018951674286868076,0.10205788940591785
30,0.6305701251911554,0.018072206295641123,0.0989855505200952
31,0.6144246541885264,0.016484827541956956,0.09178363531550676
32,0.5949846016562181,0.016465303358547755,0.09314182127298203
33,0.5722620398479958,0.015991551697506903,0.09186447054167995
34,0.5540300954265843,0.01596426961277424,0.09308688814842721
35,0.5423657265451896,0.01570989998396662,0.09294102168966191
36,0.5276110813674023,0.017072126061714314,0.10243275637028589
37,0.521505660779042,0.017356469956265334,0.10557528510821755
38,0.5009757633003902,0.015554246581242053,0.09588281543104084
39,0.4952718742852319,0.015407887986808587,0.09622222963716635
40,0.4776369535732961,0.01612034028162665,0.1019539838938008
41,0.46095346653662317,0.014174147605452912,0.09075882807742632
42,0.44328877555667984,0.014409907752808091,0.09338687563392635
43,0.4304134089917969,0.013761412070449888,0.09023961365956265
44,0.4194529695169272,0.013411869935508755,0.08896428062626123
45,0.4135714983103987,0.013215778838484888,0.08865413957536628
46,0.4089615121188649,0.013101992939917307,0.08886203955509674
47,0.4035760019197788,0.012871000723287607,0.08823913532037185
48,0.3914022724561203,0.010266868006473511,0.07113094808726206
49,0.3821379590876089,0.01023615268905685,0.07165306882339795
50,0.3756023245152351,0.010319722211224711,0.07297145555518426
51,0.3699265524095835,0.010342089126663465,0.07385728929967837
52,0.3667512068991217,0.009723190397723904,0.07011492308018527
53,0.3609119044587854,0.010064879206559187,0.0732734266460854
54,0.3534117916966095,0.010431218584082576,0.07665348877931862
55,0.34942628882031657,0.01059473279682765,0.07857264133901602
56,0.3415277697234364,0.009812711008973135,0.07343160526200461
57,0.33923907323446095,0.009830116572369858,0.07421575260080363
58,0.32707666090762144,0.008764364288905459,0.06674740984144026
59,0.3200667813817724,0.008975864664844171,0.06894492470381189
60,0.31280940719235584,0.008239887763651846,0.06382589616648375
61,0.3096049392836191,0.00839458935187467,0.06556383876484859
62,0.30408241897824057,0.008209959860522264,0.06464528858707322
63,0.2981643060438579,0.008601158525799688,0.06826957933892672
64,0.2961870516649761,0.008542229697966029,0.06833783758372823
65,0.29344929463223374,0.008427271924012639,0.06794283836638972
66,0.28708804127610255,0.008881780249973876,0.07215592385232494
67,0.2802597902003849,0.008667693787143379,0.07094813136633567
68,0.27575627711721296,0.008042808720099173,0.06632269975921536
69,0.2718691279674216,0.007897161478054924,0.0655987499829284
70,0.26975607060772056,0.00779018889944291,0.06517739651313366
71,0.26731624303443213,0.007583158264622537,0.06389682729140962
72,0.2629163091391816,0.007472034727862882,0.06340231710399867
73,0.2597911666901828,0.007591667392223203,0.06486323463236002
74,0.25268536123653973,0.007593766335583469,0.06532404802060737
