sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
1,7.2525550335340565,0.9913812793948715,0.9913812793948715
2,5.984962550009028,0.9452268635795054,1.3367526499935198
3,5.480903328921638,0.9042561384855505,1.5662175749130123
4,4.934079688563126,0.86231089544183,1.72462179088366
5,4.589474889676772,0.876629095005796,1.9602022474870813
6,4.384588773876169,0.8412981553721542,2.0607512022065
7,3.8509948305657082,0.8800866947495825,2.32849052648421
8,3.7566200947076114,0.8273182073432562,2.3400092584460586
9,3.6935385046513405,0.787175277098407,2.361525831295221
10,3.4006079765957082,0.7734545194433438,2.4458779479919555
11,3.169859522373669,0.7704616076270486,2.5553320678729445
12,3.089371702747999,0.7495957277356591,2.596675771149457
13,2.977104518608101,0.7173939720505228,2.58660075093694
14,2.6329533624166497,0.5667098022187671,2.1204339176290494
15,2.604394742620194,0.564328191917235,2.1856336890907944
16,2.1154523691168237,0.34032930049140847,1.3613172019656339
17,2.0687780124628095,0.3329962906576448,1.372978879320349
18,1.8722068627069715,0.25927552490051975,1.1000128911171543
19,1.7407852956545864,0.2416866166801572,1.053487538115057
20,1.7132219471706402,0.23122043894293984,1.0340492385275062
21,1.6085778593695061,0.21581642751657915,0.9889951153096743
22,1.5783156496742876,0.20557964434579162,0.9642540037383966
23,1.544253623962684,0.20346342910117926,0.9757763271247379
24,1.4925677393231047,0.19137915107430992,0.9375625350781487
25,1.462320305006855,0.18712294205176455,0.9356147102588228
26,1.4334846837672925,0.1823348408370495,0.9297289114359499
27,1.409450124340975,0.17454127566919989,0.9069430724308192
28,1.3625652733623865,0.17635537662908804,0.9331849378593987
29,1.340246705183506,0.17373654844452024,0.9355999463964492
30,1.3191802789327238,0.17029011883160777,0.9327173940430686
31,1.2954706028850624,0.165186437603333,0.9197191605106824
32,1.2825729038300464,0.1622202561547506,0.9176563453827434
33,1.2693452477851217,0.16049886464366234,0.9219957826437458
34,1.2599575257643687,0.15755550380554148,0.9186985634582281
35,1.2529146896836842,0.15580447115863197,0.9217516819381099
36,1.2465346872601841,0.15456316973851178,0.9273790184310706
37,1.2214096170915183,0.14777483048012002,0.8988792017656453
38,1.1073705066342516,0.13319921783926497,0.82109512363288
39,1.0660882395352895,0.13160932268696415,0.8218999567506601
40,1.05328105589907,0.1296808059972425,0.8201734315154191
41,0.9776635132558267,0.12625822298503458,0.8084470877706761
42,0.9638890269897937,0.12452525705690955,0.8070159013884143
43,0.9565471861261476,0.12301193433013503,0.8066431971253353
44,0.9455994804067501,0.12206696120921748,0.8097006192596833
45,0.9166994528102308,0.11402934558209295,0.7649321044541255
46,0.7587758754535452,0.083140471051789,0.563886109625707
47,0.7193458661000462,0.08149786923205395,0.5587212421236133
48,0.7037907635150102,0.08163696598159946,0.5655974914236092
49,0.6503541763509768,0.07859925281128147,0.5501947696789703
50,0.6309524454190306,0.07083894548952689,0.5009069872774866
51,0.5207474029610373,0.03201125824760484,0.22860610968287198
52,0.4968630953441484,0.03060168735297086,0.22067190573370862
53,0.44465040802780365,0.011569352257191369,0.08422615578014876
54,0.43645615955779704,0.011274238644554653,0.08284839575257903
55,0.41722014528640106,0.011669218338013945,0.08654123938396799
56,0.3947114593354778,0.009299896499339568,0.06959405286597403
57,0.3887755908369904,0.00943145142401278,0.07120589673559503
58,0.3822830135290018,0.009378534292227078,0.07142478923516539
59,0.36575177123098424,0.00800908269709392,0.061518931503111
60,0.35452292565569743,0.008110234259238807,0.0628216044397455
61,0.3449480357163909,0.007523740055101912,0.05876228832696562
62,0.33639777269839877,0.007621998511407856,0.06001567629453176
63,0.3305984248047536,0.007449815350601919,0.059131076193132424
64,0.32827703938578906,0.0075384262057770594,0.060307409646216475
65,0.3260876186747305,0.00751747014422353,0.06060778191786916
66,0.31880952148813235,0.0076860322253452275,0.062441620977974226
67,0.31411237563524724,0.007800078242900506,0.06384639206634765
68,0.3121569651549259,0.007713165539490881,0.06360439245439026
69,0.3091791663280931,0.007865102698378932,0.06533244975865578
70,0.30646209235093524,0.007827241780444453,0.0654874031571528
71,0.30253191587761935,0.007628759302985474,0.06428106847046809
72,0.2989293646883381,0.007788135793249939,0.06608452358650443
73,0.2954195247480381,0.007895925407127614,0.06746281625124619
74,0.29206432235026536,0.007806236356539666,0.06715178425036794
75,0.28170239080180226,0.006419166133379503,0.05559160942619379
76,0.2776782275776118,0.006523694589626097,0.05687225090940641
77,0.2760602037856482,0.00662507059469101,0.05813475853237236
78,0.27404284101534443,0.006643715659217072,0.05867570796608286
79,0.2688135148882588,0.006221444921942628,0.05529741202284688
80,0.26266441073451874,0.0057819910053821455,0.05171569973330732
81,0.25514679508880295,0.005510244897940213,0.049592204081461914
82,0.2531638590838504,0.0053984126009308684,0.04888470523600315
83,0.24939737339684448,0.004717060175353327,0.042974463416383245
84,0.24440640307954245,0.004716815530411301,0.04323032841450613
85,0.23778359771719187,0.004719851705090337,0.04351488262691
86,0.23661408643944407,0.004868586612701214,0.04514941485846875
87,0.23499874826669837,0.004608589589080083,0.04298606199746876
88,0.23166549033570366,0.004533530681188098,0.04252828750937541
89,0.22777989635928284,0.004465792371741062,0.04213020097468749
90,0.2262383112727107,0.0044378633875975975,0.04210126874843714
91,0.2243038465030438,0.0045625216119212515,0.04352368222923714
92,0.22213348391104662,0.004619525687071504,0.04430893382562073
93,0.2204703671020861,0.004731211196215145,0.04562614845279857
94,0.21839500595340153,0.00469959886178378,0.04556430148041188
95,0.2165577427634246,0.00441545665017956,0.04303654790771927
96,0.21392285200348105,0.0038484310752152444,0.03770676977819111
97,0.2124129285096037,0.003857719897727843,0.037994134711880935
98,0.21118072316118433,0.003648009396419363,0.03611345054856526
99,0.20958152573325037,0.0034574512109408124,0.034401205192951784
100,0.20458129572343062,0.0034024444611242947,0.034024444611242946
101,0.20468720483965358,0.003342429676918366,0.03359100252537286
102,0.2025773465192155,0.003359736323817924,0.03393167359399358
103,0.20081378141987014,0.003360195686928836,0.03410226166413132
104,0.20078933557582196,0.0034082344481368766,0.034757307915898136
105,0.1974913222214372,0.00336879543994767,0.034519881013732975
106,0.19519031405868673,0.0033721834665300233,0.034718753738944536
107,0.1949507324978603,0.003369088707881083,0.03485012457952174
108,0.19415463948697026,0.003192010962896663,0.03317235099632325
